time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,Date
87.0,1.0,74.0,0.1511620702795059,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-27
88.0,1.0,75.0,0.15071637795550347,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2853813056326097,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-28
89.0,1.0,76.0,0.15029895310502112,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2844565524338781,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-29
90.0,1.0,77.0,0.14981827704713382,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.271241024907209,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-30
91.0,1.0,78.0,0.14963548417777578,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.26976812115781795,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-31
92.0,1.0,79.0,0.14940879981688834,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.26827413030364605,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-01
93.0,1.0,80.0,0.1492580811413163,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.267865571636111,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-02
94.0,1.0,81.0,0.14913271888598337,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2677920166553708,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-03
95.0,1.0,82.0,0.1489031211187658,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2664615877280649,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-04
96.0,1.0,83.0,0.148607879173142,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.25765415253653473,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-05
